DLR_DEALER_CODE_C,DLR_DEALER_SUBCD_C,UDBI03_PACKED_PART_C,PINVTY_QDATE_Y,PINVTY_PRT_QOH_A,UDBI03_PRT_STKING_F,UDBI03_LAST_SALE_Y,PRT_DEALER_COST_A
90715,PI   ,BK3Q6C887NB,12-07-18,1,N,12-06-18,73.53
91123,PI   ,EB3C19D521AC,12-07-18,1,Y,10/31/2018,38.99
90416,PI   ,C0ST6TCRBMECSP,06/27/2017,1,N,06/23/2017,210.96
90427,PI   ,BB3Q6744BA,12-07-18,148,N,12-06-18,6.41
91080,PI   ,W704599S439,12-07-18,5,Y,05/15/2015,1.23
91064,PI   ,DN1518C815AN,12/28/2017,1,Y,12/28/2017,0
90678,PI   ,WL5110272,06/30/2017,1,U,02/20/2017,35.49
90715,PI   ,6C1Q6744BA,12-07-18,9,N,12-05-18,4.68
90647,PI   ,UMY13328ZB,06/27/2017,4,U,06/27/2017,82.64
90343,PI   ,AV618C083AB,12-07-18,6,N,06/28/2018,5.08
91080,PI   ,81AG13465AA,12-07-18,46,N,12-05-18,2.14
90343,PI   ,H1BG37521AB,12-07-18,2,N,11/23/2018,12.95
90427,PI   ,8V4Z17528A,12-07-18,2,N,10/23/2018,11.88
91123,PI   ,3S6G8575A2A,12-07-18,2,Y,11/15/2018,15.44
90148,PI   ,4M342L362AA,12-07-18,1,N,04/13/2018,40.58
91064,PI   ,C0ST6TCRBMEC,12-07-18,2,Y,01-03-18,222.03
91064,PI   ,CV6Z8A080A,12-07-18,1,Y,06-07-17,21.91
90715,PI   ,SENEC016,12-07-18,3,N,12-06-18,44.28
98060,PI   ,EB3B17528DA,04-02-18,1,N,03/28/2018,7.67
90343,PI   ,GA096FX,12-07-18,2,N,10/23/2018,206.17
91123,PI   ,9XF201147L,12-07-18,9,Y,11/27/2018,1.95
90427,PI   ,4M342N179AA,12-07-18,8,N,11/14/2018,10.41
91065,PI   ,8A61A218A14AE,12-07-18,1,N,12-06-18,5.75
90715,PI   ,8V511125AD,12-07-18,12,N,12-03-18,38.45
90678,PI   ,LF5013Z40AMC,06/30/2017,5,U,05/30/2017,11.13
90639,PI   ,GV6119048AA,12-07-18,1,N,05/15/2018,4.73
91124,PI   ,AS6916B632AB,12-07-18,5,N,11/27/2018,2.07
90678,PI   ,6S6T14529BB,06/30/2017,1,U,11-09-16,31.43
90148,PI   ,W715195S437,12-07-18,6,N,11/28/2018,3.49
91098,PI   ,96MM6714B1AM1C,12-07-18,5,N,11-05-18,3.48
90427,PI   ,20230,12-07-18,3,N,09-07-18,240.54
90770,PI   ,F1F19P897AB,04-03-18,1,N,02-02-18,27.08
90257,PI   ,20252,04-03-18,2,N,03-06-18,283.55
90639,PI   ,K318ALPR,12-07-18,6,N,11/29/2018,269.51
90343,PI   ,AB398B273DC,12-07-18,1,N,11-01-18,20.24
90427,PI   ,CL3Z8213A,12-07-18,1,N,12-04-18,30.02
91123,PI   ,96FX1A049A1B,12-07-18,2,Y,10/30/2018,10.98
90427,PI   ,W715921S300XD,12-07-18,2,N,10-05-18,16.23
90678,PI   ,89FB1107AB,06/30/2017,2,U,03/23/2017,0.63
91123,PI   ,E6DZ13466B,12-07-18,8,N,11/29/2018,0.96
91124,PI   ,AS6917527BC,12-07-18,4,Y,09/14/2018,16.68
91080,PI   ,AS6916B632AB,12-07-18,1,Y,11-06-18,2.05
90647,PI   ,ACCWXE2MC,06/30/2017,19,U,06/30/2017,1.25
90416,PI   ,AB3917528BC,06/27/2017,7,N,06/27/2017,4.37
91123,PI   ,CV6E12405AA,12-07-18,16,Y,10/16/2018,6.14
90715,PI   ,AB396C301CB,12-07-18,8,N,12-04-18,25.9
90148,PI   ,W716329S300,12-07-18,4,N,03/16/2018,4.2
90715,PI   ,96MM6714B1AM1C,12-07-18,7,N,12-04-18,3.5
90678,PI   ,GS24,06/30/2017,21,U,05/18/2017,0.53
91123,PI   ,YC1R7600AA,12-07-18,1,N,11/28/2018,15.71
91080,PI   ,8V5J19G244AA,12-07-18,4,N,11/30/2018,8.76
90427,PI   ,EB3P7045AA,12-07-18,1,N,10/22/2018,26.11
90427,PI   ,AB3919E616AA,12-07-18,4,N,11/28/2018,75.98
90647,PI   ,WL5118380SA,06/26/2017,3,U,06/26/2017,15.81
90343,PI   ,6N293B438AA,12-07-18,7,N,11/27/2018,25.02
91065,PI   ,FM5JA130D00FA3JA6,12-07-18,3,Y,05/25/2018,21.71
90715,PI   ,BE8Z6K254A,12-07-18,16,N,12-05-18,31.05
90427,PI   ,BS6R7E395BB,12-07-18,1,N,10/18/2018,104.77
90715,PI   ,BK212N248BD,12-07-18,4,N,11/19/2018,10.57
91080,PI   ,FB3Q6C301GA,12-07-18,1,Y,12-03-18,44.84
90343,PI   ,AB3921600B12BA3A06,12-07-18,1,N,05/25/2018,6.83
90416,PI   ,AB3J9601A1B,06/27/2017,24,N,06/27/2017,13.39
90678,PI   ,12112765,06/30/2017,30,U,05-02-17,41.59
90257,PI   ,EB3B17D568AA3ZHE,04-03-18,1,N,03-09-18,8.06
91124,PI   ,AB396K683CE,12-07-18,1,N,11/30/2018,90.55
91124,PI   ,HU2J9601AA,12-07-18,3,N,11/23/2018,12.1
90257,PI   ,8V217540A1E,04-03-18,1,N,01/31/2018,143.77
90427,PI   ,6C1Q19A216BA,12-07-18,2,N,11/14/2018,120.8
90427,PI   ,MEAS6J19N619AA,12-07-18,14,N,12-06-18,8.93
91065,PI   ,10E,12-07-18,5,Y,09-11-18,17.8
90427,PI   ,CM5G7120BA,12-07-18,1,N,10/15/2018,15.49
90678,PI   ,UR585858X,06/30/2017,1,U,05/28/2014,76.08
90770,PI   ,DG9Z14526B,04-03-18,5,N,03/22/2018,2.38
90427,PI   ,WE0112700,12-07-18,5,N,11/14/2018,92.69
90257,PI   ,MFL158MC,04-03-18,2,N,03/23/2018,4.01
90343,PI   ,AB315719BC,12-07-18,2,N,11/15/2018,1.63
91123,PI   ,95AG11K665CA,12-07-18,1,N,11/15/2018,84.6
90427,PI   ,4R8Q6N652AA,12-07-18,12,N,12-04-18,1.2
91064,PI   ,77TT7288A1ABM,12-07-18,2,N,11/20/2018,0.68
90678,PI   ,98AB17K695AE,06/30/2017,4,U,06-05-17,18.75
90678,PI   ,AB392162900EA3A06,06/30/2017,2,U,09/19/2016,168.22
90770,PI   ,W712097S300,12-07-18,8,Y,09/21/2018,0.68
90715,PI   ,6G9N6744BA,12-07-18,1,N,12-04-18,7.72
90770,PI   ,2M599155AC,12-07-18,2,N,11/28/2018,11.44
91065,PI   ,97JM6730BA,12-07-18,39,N,12-07-18,3.13
90678,PI   ,UR5650EA1,06/30/2017,6,U,06/28/2017,0.66
91123,PI   ,AB3919N619AA,12-07-18,37,N,12-05-18,6.51
91123,PI   ,E4B53762BA,12-07-18,1,Y,09-11-18,15.67
91080,PI   ,3M342K021BAMC,12-07-18,1,N,11/16/2018,23.27
91065,PI   ,AB396853AE,08/19/2018,1,Y,08/19/2018,43.73
90639,PI   ,XS6F12405A2A,12-07-18,24,N,12-04-18,2.19
90770,PI   ,FDT6SCGD,12-07-18,6,N,10/31/2018,20.19
90427,PI   ,C0SFLT6DCMAXE,12-07-18,2,N,11/26/2018,233.12
90343,PI   ,BK2Q6K261AA,12-07-18,1,N,11-09-18,28.71
90678,PI   ,MFG208,06/30/2017,11,U,04-06-17,4.24
90715,PI   ,BK3Q6C344AC,12-07-18,1,N,12-04-18,15.28
91124,PI   ,CM5G9K462AA,12-07-18,4,Y,04-10-18,1.28
91124,PI   ,96FB18A179AA,12-07-18,2,Y,06/25/2018,4.43
98060,PI   ,3370866,04-02-18,10,N,03/23/2018,41.76
91123,PI   ,3S717A564AG,12-07-18,1,Y,11-09-18,78.67
90678,PI   ,W708947S300,06/30/2017,5,U,12-11-15,0.88
90427,PI   ,EB3B21511AC,12-07-18,1,N,11/26/2018,56.44
90678,PI   ,3M5Q9176BA,06/30/2017,2,U,09/28/2015,16.4
91123,PI   ,6N298B081BC,12-07-18,2,Y,07/23/2018,14.79
90427,PI   ,CM5Z8620DA,12-07-18,1,N,01/29/2018,0
91064,PI   ,3387699,12-07-18,13,N,10/26/2018,8.01
90427,PI   ,DS7Q6734AA,12-07-18,3,N,12-05-18,11.78
90257,PI   ,5M5G6K254AB,04-03-18,1,N,04-03-18,41.41
90148,PI   ,4M5J19G244AA,12-07-18,1,N,11/29/2018,5.96
90770,PI   ,AB3921600B12AA3A06,04-03-18,3,N,01-02-18,7.28
90427,PI   ,DS7Q6714AB,12-07-18,1,N,12-05-18,9.73
90148,PI   ,MEAV6J2K021BA,12-07-18,1,N,11/13/2018,29.07
91064,PI   ,AS7J17402AA,12-07-18,1,Y,02/13/2017,3.91
90148,PI   ,AB392116C144FA,12-07-18,2,N,11-08-18,2.78
91098,PI   ,AV6Q9155BA,12-07-18,1,N,11/19/2018,49.61
91124,PI   ,3412687,12-07-18,7,Y,10/24/2018,7.67
91123,PI   ,F1AZ6731B1DMC,12-07-18,7,Y,12-05-18,5.44
91124,PI   ,8V219601A1A,12-07-18,8,N,12-07-18,7.87
90427,PI   ,BB3Q6006FA,12-07-18,4,N,11/27/2018,4261.25
90678,PI   ,95AC2K021AA,06/30/2017,1,U,06/19/2017,16.73
90427,PI   ,4M5G9461AA,12-07-18,2,N,06/22/2018,2.25
91065,PI   ,CC119601CB,12-07-18,1,N,12-03-18,17
91065,PI   ,WE0114302MC,12-07-18,8,N,12-06-18,3.69
90427,PI   ,5U3917528HA22,12-07-18,5,N,11/16/2018,3.18
90639,PI   ,K317PR,12-07-18,1,N,08/27/2018,269.51
90427,PI   ,UR5837160,12-07-18,8,N,11/16/2018,1.07
90647,PI   ,2S6E6D314A1C,06/30/2017,1,U,06/30/2017,25.55
91124,PI   ,E802282S72,12-07-18,6,Y,11/19/2018,1.48
90639,PI   ,BM5G12405CA,12-07-18,10,N,11/30/2018,11.11
90427,PI   ,BM5G6K301AC,12-07-18,2,N,11/16/2018,36.9
90647,PI   ,AB3917528DC,06/30/2017,7,U,06/30/2017,6.35
90639,PI   ,BK3Z9F598A,12-07-18,2,N,10/22/2018,7.84
90639,PI   ,BK212M008AC,12-07-18,5,N,11/19/2018,93.06
90770,PI   ,DT11V04101EH34X1,04-03-18,1,N,10-10-17,80.72
90678,PI   ,ED0550,06/30/2017,2,U,05/25/2017,33.3
90678,PI   ,W707209S442,06/30/2017,2,U,06/24/2015,2.22
91123,PI   ,SX18A886A,12-07-18,2,Y,10/23/2018,11.68
90427,PI   ,PN1113G92A,12-07-18,4,N,12/28/2017,0
90427,PI   ,W709046S300,12-07-18,3,N,11/13/2018,0.27
91080,PI   ,6C1Q6744BA,12-07-18,3,Y,11-05-18,4.68
91080,PI   ,U5A317YC2,12-07-18,2,Y,09/18/2018,10.19
90678,PI   ,3M34P483B02AA,06/30/2017,46,U,05/24/2017,0.19
90639,PI   ,WL0112205,12-07-18,1,N,09-07-18,9.5
90639,PI   ,4M5G12405X1E,12-07-18,89,N,12-06-18,1.8
90427,PI   ,AAELABOUR1,12-07-18,552,N,11/22/2018,0.69
91098,PI   ,6N293K155AC,12-07-18,1,Y,09/26/2018,13.39
91124,PI   ,2M599155AC,12-07-18,5,Y,11/28/2018,11.5
90678,PI   ,BV612K021AC,06/30/2017,1,U,03-02-16,106.2
91065,PI   ,C0ST6TCEC,12-07-18,1,Y,12-05-18,228.52
91080,PI   ,2S696714AB,12-07-18,7,N,12-06-18,4.77
90647,PI   ,8V513L519AA           ,06/22/2017,5,U,05/22/2017,26.35
90678,PI   ,UB9B61195,06/30/2017,5,U,06/28/2017,3.08
90678,PI   ,AV1T14K147AA,06/30/2017,1,U,05/31/2017,29.66
90427,PI   ,1S619451AB,12-07-18,2,N,10/29/2018,6.09
90678,PI   ,W712097S300,06/30/2017,15,U,05-10-17,0.6
90343,PI   ,CM5G8K530AA,12-07-18,1,N,11/23/2018,13.04
90639,PI   ,20252,12-07-18,1,N,11/26/2018,265.3
90427,PI   ,WL5111399T,12-07-18,2,N,11-06-18,10.92
90647,PI   ,W520102S442           ,06/22/2017,2,U,03/31/2017,0.45
90148,PI   ,CARF1ESTDL1,12-07-18,1,N,10-12-18,25.08
90678,PI   ,W704309S300,06/30/2017,15,U,05/23/2017,0.9
90678,PI   ,2S641782AA,06/30/2017,2,U,05/22/2017,2.44
98060,PI   ,BK2Q6714BA,04-02-18,3,N,03/28/2018,12.63
91065,PI   ,AB399176AC,12-07-18,38,N,12-07-18,33.2
90257,PI   ,BK216D315BA,04-03-18,3,N,03-09-18,41.56
90770,PI   ,EB3B17F931BA3A06,04-03-18,2,N,03-07-18,16.37
90678,PI   ,CN1514529AB,06/30/2017,2,U,06/27/2017,16.94
90427,PI   ,4M5G12405X1E,12-07-18,65,N,12-05-18,2.43
90770,PI   ,FN1J54130D00FA35B8,12-07-18,2,N,12-06-18,22.83
90343,PI   ,2N1115201AB,12-07-18,2,N,11/29/2018,23.2
90343,PI   ,2S6Q9155BA,12-07-18,2,N,12-03-18,26.37
98060,PI   ,2S6J1K018B1A,04-02-18,1,N,03/16/2018,30.88
91080,PI   ,XS6R3K169CA,12-07-18,1,N,11/29/2018,7.23
91123,PI   ,AB3922053DD,12-07-18,1,N,11/22/2018,62.65
90257,PI   ,BV612A315BA,04-03-18,2,N,03-05-18,66.34
90343,PI   ,W704408S300,12-07-18,4,N,08/21/2018,0.25
91124,PI   ,W712143S900,12-07-18,6,N,09-10-18,2.23
90427,PI   ,5G2A13465AA,12-07-18,1,N,01/24/2018,0
91124,PI   ,2S696714AB,12-07-18,23,N,12-07-18,4.88
90715,PI   ,2S616C301DA,12-07-18,3,N,11/26/2018,12.97
90343,PI   ,20227,12-07-18,1,N,11/20/2018,361.41
90148,PI   ,XS6E8255BCMC,12-07-18,1,N,07-10-18,4.16
90343,PI   ,AV613B438BA,12-07-18,2,N,12-03-18,21.82
98060,PI   ,AB3921000A27AA,04-02-18,1,N,03/28/2018,7.4
90343,PI   ,2S617A543AE,12-07-18,2,N,11/15/2018,19.64
90639,PI   ,3S7Q6385AB,12-07-18,2,N,10/16/2018,34.24
91123,PI   ,AA5Z6714A,12-07-18,5,N,11/13/2018,5.15
90427,PI   ,6M5Q6C301BB,12-07-18,1,N,12-06-18,16.63
90427,PI   ,CAREVER7RB1,12-07-18,3,Y,10/26/2018,78.75
90148,PI   ,AS6AF26413AH,12-07-18,1,N,08/13/2018,26.77
90343,PI   ,BK2Q6K254AB,12-07-18,1,N,11-05-18,16.48
90257,PI   ,5U3917528GA21,04-03-18,2,N,03/23/2018,3.21
90427,PI   ,DSGATFC01AA,12-07-18,3,N,12-05-18,21.03
90715,PI   ,AV6Q9155BA,12-07-18,7,N,12-05-18,49.61
90427,PI   ,W712154S439,12-07-18,22,N,02-08-18,0
90343,PI   ,AB312C216AD,12-07-18,1,N,09/13/2018,69.2
91123,PI   ,GM5JS17528CA,12-07-18,1,Y,12-07-18,35.66
91080,PI   ,5U3917528GA21,12-07-18,4,N,12-07-18,3.4
90678,PI   ,E30115287SA,06/30/2017,9,U,06/22/2017,0.11
91124,PI   ,6M5Y9601AA,12-07-18,2,Y,11-06-18,12.98
90715,PI   ,XS619155AA,12-07-18,8,N,11/29/2018,6.83
91123,PI   ,6N29F22053AA,12-07-18,2,Y,10-05-18,10.95
91080,PI   ,7U7JM2C200BA,12-07-18,8,Y,07/30/2018,20.72
90343,PI   ,7S7G8507A9B,12-07-18,2,N,09-04-18,1.92
90427,PI   ,AB3921402A84NA5BMT,12-07-18,2,N,12-03-18,4.73
98060,PI   ,AV611125DB,04-02-18,2,N,02/21/2018,69.53
90647,PI   ,AV6N19G244AA,06/30/2017,3,U,06/30/2017,15.34
91064,PI   ,6U7JM2C936BA,12-07-18,2,N,12-06-18,140.27
90427,PI   ,DS7Z9229B,12-07-18,4,N,08-04-18,32.04
91065,PI   ,YS4Z1125BA,12-07-18,4,N,12-04-18,44.61
90427,PI   ,MEYS6J2K021DF,12-07-18,7,N,11/27/2018,33.39
90148,PI   ,UH7169671,12-07-18,1,N,11-02-18,13.02
90678,PI   ,BV612M007BA,06/30/2017,1,U,01/19/2017,55.53
90343,PI   ,8V219601A1A,12-07-18,7,N,12-06-18,7.72
90148,PI   ,93PX68009AA,12-07-18,2,N,10-11-18,0.13
90678,PI   ,6N2917B718AC,06/30/2017,1,U,05/20/2017,1.02
90427,PI   ,8V411K018AA,12-07-18,2,N,11/30/2018,49.56
90148,PI   ,UM5133062,12-07-18,1,N,10/17/2018,2.11
90343,PI   ,AA6E6714AA,12-07-18,36,N,12-06-18,7.2
90148,PI   ,XS6R3K169CA,12-07-18,9,N,12-06-18,7.2
91064,PI   ,FSA137400ECF,12-07-18,2,N,09/13/2018,45.64
98060,PI   ,8M519155BE,04-02-18,1,Y,10-05-17,29.93
90639,PI   ,5U3917528DA18,12-07-18,2,N,12-04-18,1.81
91123,PI   ,ACCBUG4,12-07-18,48,N,12-06-18,0.51
90148,PI   ,YS4Z1125BA,12-07-18,6,N,12-03-18,38.91
90715,PI   ,FSA145060ECF,12-07-18,1,N,11/23/2018,48.51
91065,PI   ,K317CR,12-07-18,2,Y,12-07-18,343.62
90678,PI   ,CM5E12405BA,06/30/2017,26,U,02-03-17,6.9
90647,PI   ,12108765,06/22/2017,95,U,06-02-17,1.64
